EVENTO,FORMADOR (A)/TUTOR (A),INICIO DA FORMAÇÃO,FIM DA FORMAÇÃO,HORARIO INICIO,HORARIO FIM,CH,MODALIDADE,LOCAL,PÚBLICO-ALVO
CURSO TREINAMENTO EM E-SOCIAL PARA ÓRGÃOS PÚBLICOS– MÓDULO 3,MARIA CARMEM MACIEL DOS SANTOS PESSOA JURÍDICA GESTAP,25/04/25,30/04/25,08:30,13:00,20h/a,PRESENCIAL,PRESENCIAL,SERV. SEGESP/ TJAP
CURSO O JUDICIÁRIO E A GOVERNANÇA DIGITAL – RIO DE JANEIRO/RJ,ENFAM/PUC-RJ,28/04/25,30/04/25,,,,PRESENCIAL,PRESENCIAL,MAGIS. ESCLEPÍADES DE OLIVEIRA NETO
CURSO PREVENÇÃO E ENFRENTAMENTO DA DISCRIMINAÇÃO E DO ASSÉDIO MORAL E SEXUAL NO TRABALHO,AUTOINSTRUCIONAL – compartilhado pela escola TRT 3ª Região,02/05/25,02/06/25,,,40h/a,EAD,MOODLE,SERV./ MAGIS. SERV. GESTORES(AS)
CURSO NOÇÕES DE PNL PARA CONCILIADORES,Prof. JOÃO BATISTA (INSTRUTOR EXTERNO),05/05/25,09/05/25,,,20h/a,PRESENCIAL,EJAP,40 SERV. MEDIADORES JUD. CEJUSCS
CURSO SNGB: CAPACITAÇÃO PARA UTILIZAÇÃO - PROGRAMA JUSTIÇA 4.0,CURSO COMPARTILHADO PELA CEAJUD Autoinstrucional,05/05/25,09/05/25,,,3h/a,EAD,MOODLE,MAGIS. SERV. TJAP
CURSO PROCESSO JUDICIAL ELETRÔNICO (PJE) NA PRÁTICA – CRIMINAL,ESCLEPÍADES DE OLIVEIRA NETO E RAIMUNDO SANTANA LIMA FILHO  (INSTRUTORES INTERNOS),05/05/25,09/05/25,14:00,18:00,20h/a,REMOTO,ZOOM,SERV. ÁREA CRIMINAL
"CURSO DIVERSIDADE E IGUALDADE NO PODER JUDICIÁRIO: DIREITOS HUMANOS, RAÇA, ETNIA E GÊNERO.",ELDER MAIA GOLTZMAN SABRINA DE PAULA BRAGA (INSTRUTORES EXTERNOS-PESSOA JURÍDICA),05/05/25,20/05/25,09:00,12:00,20h/a,REMOTO /EAD,ZOOM/ MOODLE,MAGIS/SERV.
CURSO IGUALDADE DE GÊNERO: JULGAR COM PERSPECTIVA DE GÊNERO  CREDENCIADO NA ENFAM PARA FINS DE VITALICIAMENTO E PROMOÇÃO,TUTORA SARA DAYANNA LACERDA MARTINS LIMA (INSTRUTORA EXTERNA MAGIS CE),05/05/25,30/05/25,,,30h/a,EAD,EAD,MAGIS. ASSES. / TJAP
CURSO ESTUDO TÉCNICO PRELIMINAR E GERENCIAMENTO DE RISCOS NAS CONTRATAÇÕES PÚBLICAS – TEORIA E PRÁTICA COM AUXÍLIO DE INTELIGÊNCIA ARTIFICIAL,YAN FERNANDO MACIEL DE FRANÇA  (INSTRUTOR INTERNO),12/05/25,14/05/25,08:00,18:00,20h/a,PRESENCIAL,PRESENCIAL,SERV. RESPONSÁVEIS POR FORMALIZAÇÃO DE CONTRATOS ADM.
PALESTRA E OFICINA INTELIGÊNCIA ARTIFICIAL COM CHATGPT APLICADO AO SERVIÇO PÚBLICO,GILBERTO SOUZA DE ALMEIDA (INSTRUTOR EXTERNO),20/05/25,21/05/25,15:00,17:00,4h/a,REMOTO,ZOOM,SERV. E MAGIS. TJAP
"CURSO TECNOLOGIA E INOVAÇÃO – MÓDULO 2 (DESIGN THINKING, LINGUAGEM SIMPLES E INTELIGÊNCIA ARTIFICIAL – ChatGPT)",EDGAR DO NASCIMENTO CASTELO (INSTRUTOR INTERNO),26/05/25,30/05/25,08:30,12:30,20h/a,REMOTO,ZOOM,30 SERV. TJAP
